In-State Tuition,Out-of-State Tuition,Median Earnings (10 yrs),School Name,State
,,32493.0,Milan Institute-Visalia,CA
,,50098.0,Clovis Adult Education,CA
1174.0,8734.0,44483.0,Coastline Community College,CA
22480.0,22480.0,51017.0,University of Silicon Valley,CA
,,21208.0,Coba Academy,CA
,,,Western University of Health Sciences,CA
1356.0,7308.0,39035.0,Columbia College,CA
26175.0,26175.0,42014.0,California College of ASU,CA
1142.0,8822.0,34181.0,Compton College,CA
1312.0,9012.0,40850.0,Contra Costa College,CA
1288.0,10768.0,42446.0,Cosumnes River College,CA
1182.0,9942.0,42553.0,Crafton Hills College,CA
1340.0,9348.0,46047.0,Cuesta College,CA
1340.0,9852.0,32435.0,Cuyamaca College,CA
1146.0,9090.0,43533.0,Cypress College,CA
1562.0,11507.0,56596.0,De Anza College,CA
,,19799.0,International School of Beauty Inc,CA
17650.0,17650.0,35296.0,Dell'Arte International School of Physical Theatre,CA
1326.0,9138.0,39020.0,College of the Desert,CA
27875.0,27875.0,46920.0,Design Institute of San Diego,CA
21000.0,21000.0,,Dharma Realm Buddhist University,CA
1312.0,9012.0,51378.0,Diablo Valley College,CA
49426.0,49426.0,84713.0,Dominican University of California,CA
,,,Dominican School of Philosophy & Theology,CA
1238.0,9870.0,42006.0,East Los Angeles College,CA
1144.0,7984.0,41589.0,El Camino Community College District,CA
,,,Emperor's College of Traditional Oriental Medicine,CA
,,43090.0,Empire College,CA
1366.0,8286.0,53077.0,Evergreen Valley College,CA
32645.0,32645.0,49840.0,FIDM-Fashion Institute of Design & Merchandising,CA
1461.0,9531.0,38142.0,Feather River Community College District,CA
,,29856.0,Federico Beauty Institute,CA
,,,Fielding Graduate University,CA
,,,Five Branches University,CA
,,,Redondo Beach Beauty College,CA
1565.0,11510.0,57072.0,Foothill College,CA
,,,Franciscan School of Theology,CA
,,21826.0,Fredrick and Charles Beauty College,CA
1330.0,8890.0,37361.0,Fresno City College,CA
34188.0,34188.0,58896.0,Fresno Pacific University,CA
,,,Fuller Theological Seminary,CA
1150.0,9538.0,43366.0,Fullerton College,CA
1166.0,7238.0,47169.0,Gavilan College,CA
,,42588.0,Gemological Institute of America-Carlsbad,CA
1171.0,8371.0,41540.0,Glendale Community College,CA
,,41472.0,Glendale Career College,CA
,,87434.0,Golden Gate University,CA
1190.0,9854.0,43145.0,Golden West College,CA
,,,Graduate Theological Union,CA
1332.0,9844.0,40309.0,Grossmont College,CA
,,21777.0,Salon Success Academy-Riverside,CA
1404.0,8994.0,44316.0,Hartnell College,CA
62817.0,62817.0,138687.0,Harvey Mudd College,CA
,,25477.0,Hilltop Beauty School,CA
42115.0,42115.0,76410.0,Holy Names University,CA
,,,Pacifica Graduate Institute,CA
7864.0,19744.0,47626.0,California State Polytechnic University-Humboldt,CA
14760.0,14760.0,39248.0,Humphreys University-Stockton and Modesto Campuses,CA
1126.0,6646.0,34487.0,Imperial Valley College,CA
,,38015.0,Institute for Business and Technology,CA
20250.0,20250.0,54974.0,Interior Designers Institute,CA
,,22101.0,International School of Cosmetology,CA
1150.0,9814.0,49156.0,Irvine Valley College,CA
,,30807.0,Bellus Academy-El Cajon,CA
,,61954.0,American Jewish University,CA
1330.0,8890.0,38493.0,Reedley College,CA
19140.0,19140.0,43299.0,Life Pacific University,CA
47000.0,47000.0,65464.0,University of La Verne,CA
34600.0,34600.0,47867.0,Laguna College of Art and Design,CA
1131.0,9087.0,36657.0,Lake Tahoe Community College,CA
,,16220.0,Lancaster Beauty School,CA
1148.0,8684.0,37282.0,Laney College,CA
1129.0,9097.0,35994.0,Lassen Community College,CA
10520.0,10520.0,,Latin American Bible Institute,CA
,,,Life Chiropractic College West,CA
11420.0,11420.0,53695.0,Lincoln University,CA
18240.0,18240.0,39607.0,Southern California Seminary,CA
34902.0,34902.0,61824.0,La Sierra University,CA
,,89816.0,Loma Linda University,CA
1556.0,11440.0,38870.0,Long Beach City College,CA
13215.0,13215.0,70649.0,Southern California University of Health Sciences,CA
1238.0,9870.0,41133.0,Los Angeles Harbor College,CA
1238.0,9870.0,44521.0,Los Angeles Pierce College,CA
1238.0,9870.0,32172.0,Los Angeles Southwest College,CA
1238.0,9870.0,35233.0,Los Angeles Trade Technical College,CA
1238.0,9870.0,42678.0,Los Angeles Valley College,CA
32870.0,32870.0,57106.0,The Master's University and Seminary,CA
1238.0,9870.0,36190.0,Los Angeles City College,CA
,,115318.0,Los Angeles County College of Nursing and Allied Health,CA
1238.0,9870.0,39834.0,Los Angeles Mission College,CA
1312.0,9012.0,42454.0,Los Medanos College,CA
55926.0,55926.0,78349.0,Loyola Marymount University,CA
,,23148.0,Lu Ross Academy,CA
,,25913.0,Lyle's College of Beauty,CA
,,25913.0,Lyle's College of  Beauty,CA
,,20358.0,Lytles Redwood Empire Beauty College,CA
,,45328.0,MTI College,CA
1494.0,9864.0,42654.0,College of Marin,CA
1423.0,8893.0,40243.0,Mendocino College,CA
49090.0,49090.0,76419.0,Menlo College,CA
1194.0,7890.0,37815.0,Merced College,CA
1167.0,8703.0,44392.0,Merritt College,CA
1152.0,8448.0,43845.0,MiraCosta College,CA
1480.0,10180.0,50936.0,Mission College,CA
,,22477.0,Modern Beauty Academy,CA
1276.0,7308.0,42368.0,Modesto Junior College,CA
,,15204.0,Moler Barber College,CA
,,76310.0,Middlebury Institute of International Studies at Monterey,CA
1188.0,8364.0,42176.0,Monterey Peninsula College,CA
1398.0,8146.0,49044.0,Moorpark College,CA
1352.0,10096.0,46283.0,Mt San Antonio College,CA
46740.0,46740.0,72379.0,Mount Saint Mary's University,CA
1406.0,11276.0,38319.0,Mt San Jacinto Community College District,CA
24795.0,24795.0,32778.0,Musicians Institute,CA
1156.0,9388.0,49517.0,Napa Valley College,CA
,,27978.0,National Holistic Institute,CA
13320.0,13320.0,67548.0,National University,CA
,,,Naval Postgraduate School,CA
30291.0,30291.0,68891.0,Newschool of Architecture and Design,CA
,,27269.0,North Adrian's College of Beauty Inc,CA
,,39876.0,North-West College-Pomona,CA
,,37542.0,North-West College-West Covina,CA
,,32488.0,North-West College-Van Nuys,CA
